[08:30:34] Complex   5SAK_ZRY  (task 10 of 12)
[08:30:34] Threads   48
[08:30:34] Memory    98304 MB of 131072 MB
[08:30:34] Scratch   /scratch
[08:30:34] Dice      /data/coml-quantum-diffusion/exet6585/sapt-preproc/bin/Dice  
[08:30:34] Host      htc-c062
[08:30:34] Kept      5SAK_ZRY_casci.npz 5SAK_ZRY.dice.out 5SAK_ZRY_encoded.npz 5SAK_ZRY_poses.sdf 5SAK_ZRY_prepared.npz 5SAK_ZRY_rhf.chk 5SAK_ZRY_solved.npz and 36 pose SCFs
[08:30:34] Running the pipeline for 5SAK_ZRY 
[09:25:08] Scored    pose 1 of 36, rank10_confidence-0.42.sdf: E_int 0.001687 Hartree
[10:25:36] Scored    pose 2 of 36, rank11_confidence-0.49.sdf: E_int -0.011914 Hartree
[11:32:52] Scored    pose 3 of 36, rank12_confidence-0.51.sdf: E_int 0.067748 Hartree
[12:34:58] Scored    pose 4 of 36, rank13_confidence-0.52.sdf: E_int -0.007333 Hartree
[13:43:40] Scored    pose 5 of 36, rank14_confidence-0.53.sdf: E_int -0.001946 Hartree
[14:52:18] Scored    pose 6 of 36, rank15_confidence-0.56.sdf: E_int 0.059745 Hartree
[15:58:40] Scored    pose 7 of 36, rank16_confidence-0.64.sdf: E_int 0.018813 Hartree
[17:06:23] Scored    pose 8 of 36, rank17_confidence-0.66.sdf: E_int 0.026476 Hartree
[18:15:53] Scored    pose 9 of 36, rank18_confidence-0.67.sdf: E_int 0.019389 Hartree
[19:24:46] Scored    pose 10 of 36, rank19_confidence-0.67.sdf: E_int 0.012852 Hartree
[20:34:39] Scored    pose 11 of 36, rank1_confidence-0.26.sdf: E_int -0.027195 Hartree
[21:48:57] Scored    pose 12 of 36, rank20_confidence-0.68.sdf: E_int 0.032347 Hartree
[22:58:59] Scored    pose 13 of 36, rank21_confidence-0.69.sdf: E_int 0.018042 Hartree
[00:08:57] Scored    pose 14 of 36, rank22_confidence-0.70.sdf: E_int 0.015804 Hartree
[01:18:54] Scored    pose 15 of 36, rank23_confidence-0.71.sdf: E_int 0.017015 Hartree
[02:28:46] Scored    pose 16 of 36, rank24_confidence-0.71.sdf: E_int 0.016606 Hartree
[03:35:44] Scored    pose 17 of 36, rank25_confidence-0.71.sdf: E_int 0.016045 Hartree
[04:42:27] Scored    pose 18 of 36, rank26_confidence-0.71.sdf: E_int 0.015923 Hartree
[05:48:55] Scored    pose 19 of 36, rank27_confidence-0.73.sdf: E_int 0.015853 Hartree
[06:54:57] Scored    pose 20 of 36, rank28_confidence-0.74.sdf: E_int 0.015173 Hartree
[08:02:00] Scored    pose 21 of 36, rank29_confidence-0.77.sdf: E_int 0.014098 Hartree
[09:04:53] Scored    pose 22 of 36, rank2_confidence-0.27.sdf: E_int -0.002794 Hartree
[10:11:28] Scored    pose 23 of 36, rank30_confidence-0.78.sdf: E_int 0.003625 Hartree
[11:18:57] Scored    pose 24 of 36, rank31_confidence-0.82.sdf: E_int 0.015239 Hartree
[12:26:39] Scored    pose 25 of 36, rank32_confidence-0.84.sdf: E_int 0.016612 Hartree
[13:35:05] Scored    pose 26 of 36, rank33_confidence-0.98.sdf: E_int 0.060386 Hartree
[14:43:55] Scored    pose 27 of 36, rank34_confidence-0.99.sdf: E_int 0.061407 Hartree
[15:42:52] Scored    pose 28 of 36, rank35_confidence-1.12.sdf: E_int -0.002433 Hartree
[16:41:13] Scored    pose 29 of 36, rank36_confidence-1.73.sdf: E_int 0.008256 Hartree
[17:43:55] Scored    pose 30 of 36, rank3_confidence-0.28.sdf: E_int -0.009854 Hartree
[18:47:13] Scored    pose 31 of 36, rank4_confidence-0.28.sdf: E_int -0.026911 Hartree
[19:49:28] Scored    pose 32 of 36, rank5_confidence-0.28.sdf: E_int -0.015218 Hartree
[20:52:47] Scored    pose 33 of 36, rank6_confidence-0.34.sdf: E_int -0.009756 Hartree
[21:54:47] Scored    pose 34 of 36, rank7_confidence-0.37.sdf: E_int 0.000706 Hartree
[22:57:11] Scored    pose 35 of 36, rank8_confidence-0.41.sdf: E_int -0.003006 Hartree
[23:56:29] Scored    pose 36 of 36, rank9_confidence-0.42.sdf: E_int 0.009225 Hartree
[23:56:30] Kept      5SAK_ZRY_casci.npz 5SAK_ZRY.dice.out 5SAK_ZRY_encoded.npz 5SAK_ZRY_poses.sdf 5SAK_ZRY_prepared.npz 5SAK_ZRY_rhf.chk 5SAK_ZRY_sapt.npz 5SAK_ZRY_solved.npz and 36 pose SCFs
[23:56:30] Done
