[02:38:12] Complex   7W05_GMP  (task 2 of 12)
[02:38:12] Threads   48
[02:38:12] Memory    98304 MB of 131072 MB
[02:38:12] Scratch   /scratch
[02:38:12] Dice      /data/coml-quantum-diffusion/exet6585/sapt-preproc/bin/Dice  
[02:38:12] Host      htc-c070
[02:38:12] Kept      7W05_GMP_casci.npz 7W05_GMP.dice.out 7W05_GMP_encoded.npz 7W05_GMP_poses.sdf 7W05_GMP_prepared.npz 7W05_GMP_rhf.chk 7W05_GMP_solved.npz and 39 pose SCFs
[02:38:12] Running the pipeline for 7W05_GMP 
[03:07:42] Scored    pose 1 of 39, rank10_confidence-0.99.sdf: E_int -0.079459 Hartree
[03:34:21] Scored    pose 2 of 39, rank11_confidence-1.05.sdf: E_int -0.062362 Hartree
[04:01:02] Scored    pose 3 of 39, rank12_confidence-1.08.sdf: E_int -0.060034 Hartree
[04:29:44] Scored    pose 4 of 39, rank13_confidence-1.10.sdf: E_int -0.078041 Hartree
[04:56:27] Scored    pose 5 of 39, rank14_confidence-1.15.sdf: E_int -0.060086 Hartree
[05:23:26] Scored    pose 6 of 39, rank15_confidence-1.18.sdf: E_int -0.079663 Hartree
[05:52:19] Scored    pose 7 of 39, rank16_confidence-1.20.sdf: E_int -0.071976 Hartree
[06:19:02] Scored    pose 8 of 39, rank17_confidence-1.33.sdf: E_int -0.067961 Hartree
[06:47:07] Scored    pose 9 of 39, rank18_confidence-1.40.sdf: E_int -0.070653 Hartree
[07:14:18] Scored    pose 10 of 39, rank19_confidence-1.54.sdf: E_int -0.083408 Hartree
[07:43:10] Scored    pose 11 of 39, rank1_confidence-0.61.sdf: E_int -0.080890 Hartree
[08:10:21] Scored    pose 12 of 39, rank20_confidence-1.54.sdf: E_int -0.080961 Hartree
[08:37:28] Scored    pose 13 of 39, rank21_confidence-1.57.sdf: E_int -0.082257 Hartree
[09:04:45] Scored    pose 14 of 39, rank22_confidence-1.57.sdf: E_int -0.079222 Hartree
[09:31:51] Scored    pose 15 of 39, rank23_confidence-1.61.sdf: E_int -0.081580 Hartree
[09:58:42] Scored    pose 16 of 39, rank24_confidence-1.63.sdf: E_int -0.084867 Hartree
[10:25:39] Scored    pose 17 of 39, rank25_confidence-1.68.sdf: E_int -0.081033 Hartree
[10:52:20] Scored    pose 18 of 39, rank26_confidence-1.69.sdf: E_int -0.081590 Hartree
[11:19:39] Scored    pose 19 of 39, rank27_confidence-1.71.sdf: E_int -0.080478 Hartree
[11:42:12] Scored    pose 20 of 39, rank28_confidence-1.75.sdf: E_int -0.023376 Hartree
[12:09:49] Scored    pose 21 of 39, rank29_confidence-1.76.sdf: E_int -0.079297 Hartree
[12:39:26] Scored    pose 22 of 39, rank2_confidence-0.61.sdf: E_int -0.102052 Hartree
[13:06:24] Scored    pose 23 of 39, rank30_confidence-1.78.sdf: E_int -0.075933 Hartree
[13:33:34] Scored    pose 24 of 39, rank31_confidence-1.80.sdf: E_int -0.073998 Hartree
[14:00:24] Scored    pose 25 of 39, rank32_confidence-1.81.sdf: E_int -0.082703 Hartree
[14:24:21] Scored    pose 26 of 39, rank33_confidence-1.90.sdf: E_int -0.071427 Hartree
[14:49:25] Scored    pose 27 of 39, rank34_confidence-1.91.sdf: E_int -0.074656 Hartree
[15:15:01] Scored    pose 28 of 39, rank36_confidence-1.92.sdf: E_int -0.071733 Hartree
[15:34:23] Scored    pose 29 of 39, rank37_confidence-2.31.sdf: E_int 0.031123 Hartree
[15:58:49] Scored    pose 30 of 39, rank38_confidence-2.31.sdf: E_int -0.062914 Hartree
[16:23:54] Scored    pose 31 of 39, rank39_confidence-2.40.sdf: E_int -0.061802 Hartree
[16:52:53] Scored    pose 32 of 39, rank3_confidence-0.65.sdf: E_int -0.080359 Hartree
[17:18:38] Scored    pose 33 of 39, rank40_confidence-2.54.sdf: E_int -0.064616 Hartree
[17:47:51] Scored    pose 34 of 39, rank4_confidence-0.69.sdf: E_int -0.083024 Hartree
[18:16:47] Scored    pose 35 of 39, rank5_confidence-0.80.sdf: E_int -0.075909 Hartree
[18:45:28] Scored    pose 36 of 39, rank6_confidence-0.81.sdf: E_int -0.069817 Hartree
[19:15:21] Scored    pose 37 of 39, rank7_confidence-0.88.sdf: E_int -0.077279 Hartree
[19:44:59] Scored    pose 38 of 39, rank8_confidence-0.92.sdf: E_int -0.080523 Hartree
[20:16:40] Scored    pose 39 of 39, rank9_confidence-0.93.sdf: E_int -0.086321 Hartree
[20:16:41] Kept      7W05_GMP_casci.npz 7W05_GMP.dice.out 7W05_GMP_encoded.npz 7W05_GMP_poses.sdf 7W05_GMP_prepared.npz 7W05_GMP_rhf.chk 7W05_GMP_sapt.npz 7W05_GMP_solved.npz and 39 pose SCFs
[20:16:41] Done
