[04:47:01] Complex   7R59_I5F  (task 1 of 7)
[04:47:01] Threads   48
[04:47:01] Memory    98304 MB of 131072 MB
[04:47:01] Scratch   /scratch
[04:47:01] Dice      /data/coml-quantum-diffusion/exet6585/sapt-preproc/bin/Dice  
[04:47:01] Host      htc-c052
[04:47:01] Kept      7R59_I5F_poses.sdf 7R59_I5F_prepared.npz and 0 pose SCFs
[04:47:01] Running the pipeline for 7R59_I5F 
[04:47:03] Prepared   7R59_I5F, read back
[05:05:51] Solved     7R59_I5F's space
[05:13:34] Encoded    7R59_I5F's (12e, 14o) Hamiltonian
[05:13:44] Correlated 7R59_I5F's active space
[05:13:54] Solved     7R59_I5F's 40 poses at RHF
[05:27:24] Scored    pose 1 of 40, rank10_confidence0.39.sdf: E_int 0.001512 Hartree
[05:40:54] Scored    pose 2 of 40, rank11_confidence0.39.sdf: E_int 0.001716 Hartree
[05:54:20] Scored    pose 3 of 40, rank12_confidence0.39.sdf: E_int 0.002428 Hartree
[06:08:00] Scored    pose 4 of 40, rank13_confidence0.38.sdf: E_int 0.002528 Hartree
[06:22:32] Scored    pose 5 of 40, rank14_confidence0.38.sdf: E_int 0.003360 Hartree
[06:36:58] Scored    pose 6 of 40, rank15_confidence0.38.sdf: E_int 0.004499 Hartree
[06:51:31] Scored    pose 7 of 40, rank16_confidence0.38.sdf: E_int -0.003525 Hartree
[07:06:05] Scored    pose 8 of 40, rank17_confidence0.38.sdf: E_int -0.000160 Hartree
[07:20:32] Scored    pose 9 of 40, rank18_confidence0.37.sdf: E_int 0.003337 Hartree
[07:34:54] Scored    pose 10 of 40, rank19_confidence0.37.sdf: E_int 0.003259 Hartree
[07:49:23] Scored    pose 11 of 40, rank1_confidence0.47.sdf: E_int -0.004538 Hartree
[08:03:49] Scored    pose 12 of 40, rank20_confidence0.37.sdf: E_int 0.004481 Hartree
[08:18:11] Scored    pose 13 of 40, rank21_confidence0.37.sdf: E_int 0.001904 Hartree
[08:32:26] Scored    pose 14 of 40, rank22_confidence0.37.sdf: E_int 0.002720 Hartree
[08:46:36] Scored    pose 15 of 40, rank23_confidence0.36.sdf: E_int 0.004784 Hartree
[09:00:50] Scored    pose 16 of 40, rank24_confidence0.36.sdf: E_int 0.003692 Hartree
[09:14:59] Scored    pose 17 of 40, rank25_confidence0.36.sdf: E_int -0.000185 Hartree
[09:29:05] Scored    pose 18 of 40, rank26_confidence0.36.sdf: E_int 0.002786 Hartree
[09:43:18] Scored    pose 19 of 40, rank27_confidence0.36.sdf: E_int 0.002923 Hartree
[09:57:33] Scored    pose 20 of 40, rank28_confidence0.36.sdf: E_int 0.002594 Hartree
[10:11:48] Scored    pose 21 of 40, rank29_confidence0.36.sdf: E_int 0.003894 Hartree
[10:25:32] Scored    pose 22 of 40, rank2_confidence0.44.sdf: E_int 0.012128 Hartree
[10:39:25] Scored    pose 23 of 40, rank30_confidence0.35.sdf: E_int 0.002737 Hartree
[10:52:54] Scored    pose 24 of 40, rank31_confidence0.34.sdf: E_int 0.002313 Hartree
[11:06:26] Scored    pose 25 of 40, rank32_confidence0.33.sdf: E_int 0.003270 Hartree
[11:19:40] Scored    pose 26 of 40, rank33_confidence0.25.sdf: E_int -0.014152 Hartree
[11:32:45] Scored    pose 27 of 40, rank34_confidence0.02.sdf: E_int 0.025462 Hartree
[11:46:08] Scored    pose 28 of 40, rank35_confidence-0.08.sdf: E_int 0.023311 Hartree
[11:59:22] Scored    pose 29 of 40, rank36_confidence-0.15.sdf: E_int 0.012240 Hartree
[12:12:14] Scored    pose 30 of 40, rank37_confidence-0.16.sdf: E_int 0.008788 Hartree
[12:25:41] Scored    pose 31 of 40, rank38_confidence-0.24.sdf: E_int 0.030141 Hartree
[12:38:41] Scored    pose 32 of 40, rank39_confidence-0.25.sdf: E_int 0.033292 Hartree
[12:52:01] Scored    pose 33 of 40, rank3_confidence0.40.sdf: E_int -0.001723 Hartree
[13:05:30] Scored    pose 34 of 40, rank40_confidence-0.30.sdf: E_int 0.035185 Hartree
[13:18:51] Scored    pose 35 of 40, rank4_confidence0.40.sdf: E_int 0.001312 Hartree
[13:32:10] Scored    pose 36 of 40, rank5_confidence0.40.sdf: E_int -0.000613 Hartree
[13:45:29] Scored    pose 37 of 40, rank6_confidence0.40.sdf: E_int 0.005342 Hartree
[13:58:50] Scored    pose 38 of 40, rank7_confidence0.40.sdf: E_int 0.003831 Hartree
[14:12:07] Scored    pose 39 of 40, rank8_confidence0.40.sdf: E_int 0.001060 Hartree
[14:25:29] Scored    pose 40 of 40, rank9_confidence0.40.sdf: E_int 0.003016 Hartree
[14:25:29] Scored     7R59_I5F's 40 poses
[14:25:31] Kept      7R59_I5F_casci.npz 7R59_I5F.dice.out 7R59_I5F_encoded.npz 7R59_I5F_poses.sdf 7R59_I5F_prepared.npz 7R59_I5F_rhf.chk 7R59_I5F_sapt.npz 7R59_I5F_solved.npz and 40 pose SCFs
[14:25:31] Done
