[04:47:02] Complex   6YQW_82I  (task 2 of 7)
[04:47:02] Threads   48
[04:47:02] Memory    98304 MB of 131072 MB
[04:47:02] Scratch   /scratch
[04:47:02] Dice      /data/coml-quantum-diffusion/exet6585/sapt-preproc/bin/Dice  
[04:47:02] Host      htc-c052
[04:47:02] Kept      6YQW_82I_poses.sdf 6YQW_82I_prepared.npz and 0 pose SCFs
[04:47:02] Running the pipeline for 6YQW_82I 
[04:47:03] Prepared   6YQW_82I, read back
[04:58:06] Solved     6YQW_82I's space
[05:02:46] Encoded    6YQW_82I's (14e, 14o) Hamiltonian
[05:03:02] Correlated 6YQW_82I's active space
[05:03:13] Solved     6YQW_82I's 40 poses at RHF
[05:11:42] Scored    pose 1 of 40, rank10_confidence-0.52.sdf: E_int -0.001360 Hartree
[05:19:51] Scored    pose 2 of 40, rank11_confidence-0.54.sdf: E_int -0.000783 Hartree
[05:27:57] Scored    pose 3 of 40, rank12_confidence-0.54.sdf: E_int -0.007042 Hartree
[05:36:05] Scored    pose 4 of 40, rank13_confidence-0.55.sdf: E_int -0.002394 Hartree
[05:44:00] Scored    pose 5 of 40, rank14_confidence-0.56.sdf: E_int -0.000207 Hartree
[05:52:03] Scored    pose 6 of 40, rank15_confidence-0.56.sdf: E_int -0.001433 Hartree
[06:00:05] Scored    pose 7 of 40, rank16_confidence-0.58.sdf: E_int -0.006151 Hartree
[06:08:06] Scored    pose 8 of 40, rank17_confidence-0.58.sdf: E_int -0.009879 Hartree
[06:16:36] Scored    pose 9 of 40, rank18_confidence-0.59.sdf: E_int -0.000106 Hartree
[06:25:20] Scored    pose 10 of 40, rank19_confidence-0.59.sdf: E_int -0.000940 Hartree
[06:33:58] Scored    pose 11 of 40, rank1_confidence-0.39.sdf: E_int -0.000073 Hartree
[06:42:21] Scored    pose 12 of 40, rank20_confidence-0.60.sdf: E_int -0.008884 Hartree
[06:51:21] Scored    pose 13 of 40, rank21_confidence-0.60.sdf: E_int -0.002584 Hartree
[07:00:01] Scored    pose 14 of 40, rank22_confidence-0.60.sdf: E_int -0.008076 Hartree
[07:08:39] Scored    pose 15 of 40, rank23_confidence-0.60.sdf: E_int -0.006291 Hartree
[07:17:11] Scored    pose 16 of 40, rank24_confidence-0.61.sdf: E_int -0.001532 Hartree
[07:25:32] Scored    pose 17 of 40, rank25_confidence-0.61.sdf: E_int -0.007225 Hartree
[07:34:06] Scored    pose 18 of 40, rank26_confidence-0.61.sdf: E_int -0.001092 Hartree
[07:42:29] Scored    pose 19 of 40, rank27_confidence-0.62.sdf: E_int -0.003193 Hartree
[07:50:59] Scored    pose 20 of 40, rank28_confidence-0.62.sdf: E_int -0.002792 Hartree
[07:59:26] Scored    pose 21 of 40, rank29_confidence-0.62.sdf: E_int -0.010233 Hartree
[08:07:51] Scored    pose 22 of 40, rank2_confidence-0.39.sdf: E_int -0.000285 Hartree
[08:16:25] Scored    pose 23 of 40, rank30_confidence-0.62.sdf: E_int -0.008702 Hartree
[08:24:58] Scored    pose 24 of 40, rank31_confidence-0.63.sdf: E_int -0.006338 Hartree
[08:33:18] Scored    pose 25 of 40, rank32_confidence-0.63.sdf: E_int -0.006161 Hartree
[08:41:36] Scored    pose 26 of 40, rank33_confidence-0.64.sdf: E_int -0.009216 Hartree
[08:49:38] Scored    pose 27 of 40, rank34_confidence-0.65.sdf: E_int -0.008721 Hartree
[08:58:14] Scored    pose 28 of 40, rank35_confidence-0.65.sdf: E_int -0.009135 Hartree
[09:06:44] Scored    pose 29 of 40, rank36_confidence-0.65.sdf: E_int -0.009169 Hartree
[09:15:02] Scored    pose 30 of 40, rank37_confidence-0.67.sdf: E_int -0.009126 Hartree
[09:23:27] Scored    pose 31 of 40, rank38_confidence-0.68.sdf: E_int -0.009359 Hartree
[09:31:47] Scored    pose 32 of 40, rank39_confidence-0.68.sdf: E_int -0.008812 Hartree
[09:40:09] Scored    pose 33 of 40, rank3_confidence-0.46.sdf: E_int -0.000649 Hartree
[09:48:31] Scored    pose 34 of 40, rank40_confidence-0.79.sdf: E_int -0.009701 Hartree
[09:56:52] Scored    pose 35 of 40, rank4_confidence-0.47.sdf: E_int -0.005930 Hartree
[10:05:15] Scored    pose 36 of 40, rank5_confidence-0.47.sdf: E_int -0.001890 Hartree
[10:13:50] Scored    pose 37 of 40, rank6_confidence-0.48.sdf: E_int -0.001107 Hartree
[10:22:28] Scored    pose 38 of 40, rank7_confidence-0.49.sdf: E_int -0.001565 Hartree
[10:30:47] Scored    pose 39 of 40, rank8_confidence-0.50.sdf: E_int -0.000246 Hartree
[10:38:55] Scored    pose 40 of 40, rank9_confidence-0.51.sdf: E_int -0.001028 Hartree
[10:38:55] Scored     6YQW_82I's 40 poses
[10:38:55] Kept      6YQW_82I_casci.npz 6YQW_82I.dice.out 6YQW_82I_encoded.npz 6YQW_82I_poses.sdf 6YQW_82I_prepared.npz 6YQW_82I_rhf.chk 6YQW_82I_sapt.npz 6YQW_82I_solved.npz and 40 pose SCFs
[10:38:55] Done
