=============================================================================
This module includes execution of the conda shell function.
There is no need to run conda init. For more details, see:
https://arc-software-guide.readthedocs.io/en/latest/python/anaconda_venv.html
=============================================================================
[03:30:45] Complex   7F5D_EUO  (task 1 of 12)
[03:30:45] Threads   48
[03:30:45] Memory    98304 MB of 131072 MB
[03:30:45] Scratch   /scratch
[03:30:45] Dice      /data/coml-quantum-diffusion/exet6585/sapt-preproc/bin/Dice  
[03:30:45] Host      htc-c042
[03:30:45] Kept      7F5D_EUO_casci.npz 7F5D_EUO.dice.out 7F5D_EUO_encoded.npz 7F5D_EUO_poses.sdf 7F5D_EUO_prepared.npz 7F5D_EUO_rhf.chk 7F5D_EUO_sapt.npz 7F5D_EUO_solved.npz and 40 pose SCFs
[03:30:45] Running the pipeline for 7F5D_EUO with --classical
[03:30:55] Prepared   7F5D_EUO, read back
[03:30:57] Solved     7F5D_EUO's space, read back
[03:30:57] Encoded    7F5D_EUO's (14e, 14o) Hamiltonian, read back
[03:30:57] Correlated 7F5D_EUO's active space, read back
[03:30:59] Solved     7F5D_EUO's 40 poses at RHF, read back
[03:30:59] Referring the poses to SAPT(RHF): the determinant the protein's active space would hold, which carries no cumulant
[03:44:01] Scored    pose 1 of 40, rank10_confidence0.38.sdf: E_int -0.042555 Hartree
[03:56:50] Scored    pose 2 of 40, rank11_confidence0.38.sdf: E_int -0.031117 Hartree
[04:09:45] Scored    pose 3 of 40, rank12_confidence0.37.sdf: E_int -0.030632 Hartree
[04:22:27] Scored    pose 4 of 40, rank13_confidence0.37.sdf: E_int -0.030549 Hartree
[04:35:06] Scored    pose 5 of 40, rank14_confidence0.36.sdf: E_int -0.015228 Hartree
[04:47:39] Scored    pose 6 of 40, rank15_confidence0.36.sdf: E_int -0.027693 Hartree
[05:00:31] Scored    pose 7 of 40, rank16_confidence0.35.sdf: E_int -0.023174 Hartree
[05:13:26] Scored    pose 8 of 40, rank17_confidence0.35.sdf: E_int -0.026530 Hartree
[05:26:05] Scored    pose 9 of 40, rank18_confidence0.34.sdf: E_int -0.030403 Hartree
[05:38:47] Scored    pose 10 of 40, rank19_confidence0.34.sdf: E_int -0.025944 Hartree
[05:51:35] Scored    pose 11 of 40, rank1_confidence0.48.sdf: E_int -0.024426 Hartree
[06:04:41] Scored    pose 12 of 40, rank20_confidence0.33.sdf: E_int -0.034316 Hartree
[06:17:42] Scored    pose 13 of 40, rank21_confidence0.32.sdf: E_int -0.023721 Hartree
[06:30:26] Scored    pose 14 of 40, rank22_confidence0.31.sdf: E_int -0.014895 Hartree
[06:43:08] Scored    pose 15 of 40, rank23_confidence0.31.sdf: E_int -0.023375 Hartree
[06:55:56] Scored    pose 16 of 40, rank24_confidence0.30.sdf: E_int -0.030671 Hartree
[07:08:32] Scored    pose 17 of 40, rank25_confidence0.29.sdf: E_int -0.025115 Hartree
[07:21:08] Scored    pose 18 of 40, rank26_confidence0.28.sdf: E_int -0.033022 Hartree
[07:33:57] Scored    pose 19 of 40, rank27_confidence0.26.sdf: E_int -0.023990 Hartree
[07:46:39] Scored    pose 20 of 40, rank28_confidence0.24.sdf: E_int -0.024704 Hartree
[07:59:26] Scored    pose 21 of 40, rank29_confidence0.24.sdf: E_int -0.017211 Hartree
[08:12:14] Scored    pose 22 of 40, rank2_confidence0.44.sdf: E_int -0.042899 Hartree
[08:24:51] Scored    pose 23 of 40, rank30_confidence0.23.sdf: E_int -0.027468 Hartree
[08:37:32] Scored    pose 24 of 40, rank31_confidence0.21.sdf: E_int -0.035421 Hartree
[08:50:08] Scored    pose 25 of 40, rank32_confidence0.17.sdf: E_int -0.029216 Hartree
[09:03:14] Scored    pose 26 of 40, rank33_confidence-0.03.sdf: E_int 0.031003 Hartree
[09:15:50] Scored    pose 27 of 40, rank34_confidence-0.11.sdf: E_int 0.030427 Hartree
[09:28:32] Scored    pose 28 of 40, rank35_confidence-0.18.sdf: E_int -0.007130 Hartree
[09:41:26] Scored    pose 29 of 40, rank36_confidence-0.21.sdf: E_int 0.026269 Hartree
[09:54:40] Scored    pose 30 of 40, rank37_confidence-0.26.sdf: E_int 0.027627 Hartree
[10:07:44] Scored    pose 31 of 40, rank38_confidence-0.56.sdf: E_int 0.002197 Hartree
[10:20:45] Scored    pose 32 of 40, rank39_confidence-0.61.sdf: E_int 0.018699 Hartree
[10:34:01] Scored    pose 33 of 40, rank3_confidence0.44.sdf: E_int -0.036021 Hartree
[10:47:11] Scored    pose 34 of 40, rank40_confidence-0.76.sdf: E_int 0.004139 Hartree
[11:00:26] Scored    pose 35 of 40, rank4_confidence0.43.sdf: E_int -0.039968 Hartree
[11:13:38] Scored    pose 36 of 40, rank5_confidence0.42.sdf: E_int -0.037662 Hartree
[11:26:26] Scored    pose 37 of 40, rank6_confidence0.41.sdf: E_int -0.032440 Hartree
[11:39:45] Scored    pose 38 of 40, rank7_confidence0.41.sdf: E_int -0.026902 Hartree
[11:52:39] Scored    pose 39 of 40, rank8_confidence0.40.sdf: E_int -0.030378 Hartree
[12:05:32] Scored    pose 40 of 40, rank9_confidence0.38.sdf: E_int -0.025683 Hartree
[12:05:32] Scored     7F5D_EUO's 40 poses
[12:05:33] Kept      7F5D_EUO_casci.npz 7F5D_EUO.dice.out 7F5D_EUO_encoded.npz 7F5D_EUO_poses.sdf 7F5D_EUO_prepared.npz 7F5D_EUO_rhf.chk 7F5D_EUO_sapt.npz 7F5D_EUO_sapt_rhf.npz 7F5D_EUO_solved.npz and 40 pose SCFs
[12:05:33] Done
