[03:30:44] Complex   8DSC_NCA  (task 8 of 12)
[03:30:44] Threads   48
[03:30:44] Memory    98304 MB of 131072 MB
[03:30:44] Scratch   /scratch
[03:30:44] Dice      /data/coml-quantum-diffusion/exet6585/sapt-preproc/bin/Dice  
[03:30:44] Host      htc-c072
[03:30:45] Kept      8DSC_NCA_casci.npz 8DSC_NCA.dice.out 8DSC_NCA_encoded.npz 8DSC_NCA_poses.sdf 8DSC_NCA_prepared.npz 8DSC_NCA_rhf.chk 8DSC_NCA_sapt.npz 8DSC_NCA_solved.npz and 40 pose SCFs
[03:30:45] Running the pipeline for 8DSC_NCA with --classical
[03:30:55] Prepared   8DSC_NCA, read back
[03:30:58] Solved     8DSC_NCA's space, read back
[03:30:58] Encoded    8DSC_NCA's (14e, 14o) Hamiltonian, read back
[03:30:58] Correlated 8DSC_NCA's active space, read back
[03:30:59] Solved     8DSC_NCA's 40 poses at RHF, read back
[03:30:59] Referring the poses to SAPT(RHF): the determinant the protein's active space would hold, which carries no cumulant
[03:38:59] Scored    pose 1 of 40, rank10_confidence-0.31.sdf: E_int -0.039447 Hartree
[03:46:53] Scored    pose 2 of 40, rank11_confidence-0.31.sdf: E_int -0.036805 Hartree
[03:54:48] Scored    pose 3 of 40, rank12_confidence-0.31.sdf: E_int -0.043215 Hartree
[04:02:43] Scored    pose 4 of 40, rank13_confidence-0.31.sdf: E_int -0.035008 Hartree
[04:10:39] Scored    pose 5 of 40, rank14_confidence-0.31.sdf: E_int -0.031855 Hartree
[04:18:32] Scored    pose 6 of 40, rank15_confidence-0.31.sdf: E_int -0.043307 Hartree
[04:26:28] Scored    pose 7 of 40, rank16_confidence-0.31.sdf: E_int -0.042336 Hartree
[04:34:22] Scored    pose 8 of 40, rank17_confidence-0.31.sdf: E_int -0.041256 Hartree
[04:42:18] Scored    pose 9 of 40, rank18_confidence-0.31.sdf: E_int -0.032142 Hartree
[04:50:13] Scored    pose 10 of 40, rank19_confidence-0.31.sdf: E_int -0.039265 Hartree
[04:58:07] Scored    pose 11 of 40, rank1_confidence-0.27.sdf: E_int -0.030944 Hartree
[05:06:01] Scored    pose 12 of 40, rank20_confidence-0.31.sdf: E_int -0.038495 Hartree
[05:13:56] Scored    pose 13 of 40, rank21_confidence-0.32.sdf: E_int -0.038347 Hartree
[05:21:53] Scored    pose 14 of 40, rank22_confidence-0.32.sdf: E_int -0.039562 Hartree
[05:29:47] Scored    pose 15 of 40, rank23_confidence-0.32.sdf: E_int -0.042419 Hartree
[05:37:42] Scored    pose 16 of 40, rank24_confidence-0.32.sdf: E_int -0.043329 Hartree
[05:45:37] Scored    pose 17 of 40, rank25_confidence-0.32.sdf: E_int -0.039494 Hartree
[05:53:33] Scored    pose 18 of 40, rank26_confidence-0.32.sdf: E_int -0.039598 Hartree
[06:01:28] Scored    pose 19 of 40, rank27_confidence-0.32.sdf: E_int -0.036142 Hartree
[06:09:32] Scored    pose 20 of 40, rank28_confidence-0.32.sdf: E_int -0.038703 Hartree
[06:17:55] Scored    pose 21 of 40, rank29_confidence-0.32.sdf: E_int -0.043858 Hartree
[06:26:19] Scored    pose 22 of 40, rank2_confidence-0.30.sdf: E_int -0.037571 Hartree
[06:34:44] Scored    pose 23 of 40, rank30_confidence-0.33.sdf: E_int -0.039674 Hartree
[06:43:08] Scored    pose 24 of 40, rank31_confidence-0.33.sdf: E_int -0.044331 Hartree
[06:51:30] Scored    pose 25 of 40, rank32_confidence-0.33.sdf: E_int -0.041444 Hartree
[06:59:52] Scored    pose 26 of 40, rank33_confidence-0.33.sdf: E_int -0.042558 Hartree
[07:08:15] Scored    pose 27 of 40, rank34_confidence-0.33.sdf: E_int -0.043337 Hartree
[07:16:40] Scored    pose 28 of 40, rank35_confidence-0.33.sdf: E_int -0.037578 Hartree
[07:25:01] Scored    pose 29 of 40, rank36_confidence-0.33.sdf: E_int -0.044041 Hartree
[07:33:25] Scored    pose 30 of 40, rank37_confidence-0.34.sdf: E_int -0.040957 Hartree
[07:41:46] Scored    pose 31 of 40, rank38_confidence-0.35.sdf: E_int -0.042189 Hartree
[07:50:08] Scored    pose 32 of 40, rank39_confidence-0.37.sdf: E_int -0.042704 Hartree
[07:58:27] Scored    pose 33 of 40, rank3_confidence-0.30.sdf: E_int -0.042044 Hartree
[08:06:02] Scored    pose 34 of 40, rank40_confidence-1.95.sdf: E_int 0.005659 Hartree
[08:14:22] Scored    pose 35 of 40, rank4_confidence-0.31.sdf: E_int -0.037935 Hartree
[08:22:42] Scored    pose 36 of 40, rank5_confidence-0.31.sdf: E_int -0.037120 Hartree
[08:31:01] Scored    pose 37 of 40, rank6_confidence-0.31.sdf: E_int -0.038415 Hartree
[08:39:16] Scored    pose 38 of 40, rank7_confidence-0.31.sdf: E_int -0.036733 Hartree
[08:47:33] Scored    pose 39 of 40, rank8_confidence-0.31.sdf: E_int -0.040424 Hartree
[08:55:49] Scored    pose 40 of 40, rank9_confidence-0.31.sdf: E_int -0.039253 Hartree
[08:55:49] Scored     8DSC_NCA's 40 poses
[08:55:49] Kept      8DSC_NCA_casci.npz 8DSC_NCA.dice.out 8DSC_NCA_encoded.npz 8DSC_NCA_poses.sdf 8DSC_NCA_prepared.npz 8DSC_NCA_rhf.chk 8DSC_NCA_sapt.npz 8DSC_NCA_sapt_rhf.npz 8DSC_NCA_solved.npz and 40 pose SCFs
[08:55:49] Done
