Complex,Poses,Poses Scored,"Protein Solve (RHF, AVAS, MP2, SHCI) (s)",CASCI (Encoding and solve) (s),Ligand Solve (s),Per-Pose Score (s),"Per-Pose Score, SAPT(RHF) (s)"
5SAK_ZRY,36,36,,,,3962,1501
6YQW_82I,40,40,663,296,11,503,
7BJJ_TVW,40,40,856,350,8,604,
7F5D_EUO,40,40,,,,1763,772
7LOE_Y84,40,40,,,,1180,472
7N4W_P4V,15,,23618,16586,33,,
7NGW_UAW,39,36,,,,5488,1808
7OEO_V9Z,40,23,,,,7341,2332
7OSO_0V1,37,37,,,,1185,572
7PRM_81I,15,15,,,,3527,3423
7Q2B_M6H,37,37,,,,2753,872
7R59_I5F,40,40,1128,473,10,828,
7RKW_5TV,,,43877,,,,
7W05_GMP,39,39,,,,1625,515
7WJB_BGC,30,8,15865,10058,7,2899,
7XFA_D9J,27,27,,,,1927,1954
7XI7_4RI,40,14,4450,2476,68,4098,
7Z2O_IAJ,40,40,,,,1728,646
8DSC_NCA,40,40,,,,1125,487
